model_name,ticker,best_epoch,best_val_loss,checkpoint_path,mlflow_run_id,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_per_class_f1,test_per_class_precision,test_per_class_recall,test_classification_report
rnn,AAPL,4,0.6926603807343377,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/rnn_AAPL.pt,0eebfb9414a6477a97d9d2d63f41eb45,0.4653,0.3263,0.3059,0.455,0.4978,"{'0': 0.6323, '1': 0.0204}","{'0': 0.4655, '1': 0.4444}","{'0': 0.9851, '1': 0.0104}","              precision    recall  f1-score   support

           0       0.47      0.99      0.63       336
           1       0.44      0.01      0.02       384

    accuracy                           0.47       720
   macro avg       0.45      0.50      0.33       720
weighted avg       0.45      0.47      0.31       720
"
lstm,AAPL,2,0.6908101783858405,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/lstm_AAPL.pt,19f5204f552b4314b5e04958509b90d7,0.4611,0.4609,0.4602,0.4642,0.4645,"{'0': 0.4714, '1': 0.4504}","{'0': 0.4347, '1': 0.4938}","{'0': 0.5149, '1': 0.4141}","              precision    recall  f1-score   support

           0       0.43      0.51      0.47       336
           1       0.49      0.41      0.45       384

    accuracy                           0.46       720
   macro avg       0.46      0.46      0.46       720
weighted avg       0.47      0.46      0.46       720
"
gru,AAPL,2,0.6880546702278985,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/gru_AAPL.pt,52f10ff6f93040ecb4074117a1c56c91,0.4778,0.3645,0.3466,0.548,0.5082,"{'0': 0.6328, '1': 0.0962}","{'0': 0.4709, '1': 0.625}","{'0': 0.9643, '1': 0.0521}","              precision    recall  f1-score   support

           0       0.47      0.96      0.63       336
           1       0.62      0.05      0.10       384

    accuracy                           0.48       720
   macro avg       0.55      0.51      0.36       720
weighted avg       0.55      0.48      0.35       720
"
bilstm_attention,AAPL,1,0.6890651729371813,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/bilstm_attention_AAPL.pt,e4a996f4b5e04da68d89da2157bf0dd4,0.4958,0.4897,0.4934,0.4905,0.4907,"{'0': 0.4337, '1': 0.5457}","{'0': 0.4557, '1': 0.5253}","{'0': 0.4137, '1': 0.5677}","              precision    recall  f1-score   support

           0       0.46      0.41      0.43       336
           1       0.53      0.57      0.55       384

    accuracy                           0.50       720
   macro avg       0.49      0.49      0.49       720
weighted avg       0.49      0.50      0.49       720
"
rnn,MSFT,1,0.7058928198284573,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/rnn_MSFT.pt,d5fcd06090a348518dfadcf24863db34,0.5583,0.3583,0.4001,0.2792,0.5,"{'0': 0.0, '1': 0.7166}","{'0': 0.0, '1': 0.5583}","{'0': 0.0, '1': 1.0}","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       318
           1       0.56      1.00      0.72       402

    accuracy                           0.56       720
   macro avg       0.28      0.50      0.36       720
weighted avg       0.31      0.56      0.40       720
"
lstm,MSFT,1,0.7341390742195977,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/lstm_MSFT.pt,9561ce6a9cb14800b89cbc707478960c,0.5583,0.3583,0.4001,0.2792,0.5,"{'0': 0.0, '1': 0.7166}","{'0': 0.0, '1': 0.5583}","{'0': 0.0, '1': 1.0}","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       318
           1       0.56      1.00      0.72       402

    accuracy                           0.56       720
   macro avg       0.28      0.50      0.36       720
weighted avg       0.31      0.56      0.40       720
"
gru,MSFT,1,0.6986857891082764,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/gru_MSFT.pt,f1767eff28ac443d8c67dde6add34b18,0.5583,0.3583,0.4001,0.2792,0.5,"{'0': 0.0, '1': 0.7166}","{'0': 0.0, '1': 0.5583}","{'0': 0.0, '1': 1.0}","              precision    recall  f1-score   support

           0       0.00      0.00      0.00       318
           1       0.56      1.00      0.72       402

    accuracy                           0.56       720
   macro avg       0.28      0.50      0.36       720
weighted avg       0.31      0.56      0.40       720
"
bilstm_attention,MSFT,5,0.7114598168267144,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/bilstm_attention_MSFT.pt,7149c25bd3994ab09411ea94cb0f71bb,0.5278,0.4492,0.4734,0.484,0.4904,"{'0': 0.2411, '1': 0.6573}","{'0': 0.4154, '1': 0.5525}","{'0': 0.1698, '1': 0.8109}","              precision    recall  f1-score   support

           0       0.42      0.17      0.24       318
           1       0.55      0.81      0.66       402

    accuracy                           0.53       720
   macro avg       0.48      0.49      0.45       720
weighted avg       0.49      0.53      0.47       720
"
rnn,GOOGL,3,0.696241471502516,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/rnn_GOOGL.pt,55e857effa7f442398600d1cae06d56e,0.5181,0.5016,0.5172,0.5016,0.5016,"{'0': 0.4109, '1': 0.5922}","{'0': 0.4158, '1': 0.5874}","{'0': 0.406, '1': 0.5972}","              precision    recall  f1-score   support

           0       0.42      0.41      0.41       298
           1       0.59      0.60      0.59       422

    accuracy                           0.52       720
   macro avg       0.50      0.50      0.50       720
weighted avg       0.52      0.52      0.52       720
"
lstm,GOOGL,1,0.6950227008925544,/Users/macbookair/Projects/Python/Projects/MLOPS/Market-Movement_predictoin/models/lstm_GOOGL.pt,9081d09f424f4f569d5526205818a843,0.5736,0.4743,0.5136,0.5264,0.514,"{'0': 0.2457, '1': 0.7028}","{'0': 0.4587, '1': 0.5941}","{'0': 0.1678, '1': 0.8602}","              precision    recall  f1-score   support

           0       0.46      0.17      0.25       298
           1       0.59      0.86      0.70       422

    accuracy                           0.57       720
   macro avg       0.53      0.51      0.47       720
weighted avg       0.54      0.57      0.51       720
"
